tract,pop,COI_ct,HIS_ct,SES_Div_Ind
010100,5163,-0.17090908,39.55,59.2
010201,6752,0.057420909,43.11,61.2
010202,2557,-0.043401936,41.68,61.2
010300,6049,-0.024553579,37.88,61.0
010400,4690,0.044247245,28.58,62.7
010501,3995,0.071084566,29.35,57.1
010502,2098,-0.111392101,39.37,58.2
010503,7170,-0.131522817,38.66,55.4
010600,4066,0.118021894,32.04,61.0
010701,5789,0.1120268,35.16,59.3
010702,3684,-0.049481397,51.25,63.6
020100,6699,0.023234093,36.14,60.1
020200,4990,0.332720863,39.08,64.6
020301,4445,0.389857836,34.28,62.4
020302,4253,0.246233123,28.86,65.6
020400,6086,0.111725296,33.49,64.2
020500,6939,0.015068228,41.83,58.4
020601,4057,0.100354446,52.95,64.4
020602,1886,0.176740933,39.23,57.7
020701,7546,0.211673572,33.05,63.8
020702,5434,0.169967895,43.32,60.0
020801,7492,0.125595238,40.25,61.4
020802,5712,0.157489291,46.94,61.7
020901,4482,0.021643869,44.87,60.5
020902,3794,0.005118081,39.99,56.7
030101,3139,0.032738689,35.39,61.3
030102,1881,0.015244189,30.29,57.1
030103,3580,-0.017331956,29.19,56.1
030104,5721,0.022281485,34.27,54.8
030200,2830,0.203906224,25.49,64.9
030300,2558,0.07002284,37.59,57.8
030400,6533,0.276434477,38.09,64.4
030500,3256,0.19990542,30.70,65.5
030601,2223,0.068905794,32.48,59.2
030603,2796,0.125795658,35.22,50.3
030604,2783,0.244598572,25.47,62.7
030701,3290,0.229746325,28.96,56.3
030702,4496,0.488598206,26.31,59.4
030703,3085,0.217438484,30.76,59.4
030706,3363,0.348535565,29.46,61.3
030800,4131,0.312639408,24.99,64.8
030900,5343,0.389362676,21.38,56.6
031000,7142,0.417382235,21.50,64.6
031100,5381,0.655197321,22.79,65.2
031200,3658,0.157903737,39.20,47.6
031300,5052,0.274154067,40.40,59.9
031400,6704,0.639928789,21.24,64.7
031501,1825,0.053992704,41.78,57.0
031502,6849,0.202913035,38.42,53.4
031700,4041,0.336543201,28.34,63.6
031800,5895,0.472804062,25.76,66.3
031900,6727,0.40593698,19.07,60.3
032100,2465,0.35041749,28.41,65.2
040100,3176,0.452270636,32.88,65.5
040201,4538,0.416845892,32.66,65.2
040202,2552,0.399693761,35.37,63.6
040300,3149,0.584590845,29.14,66.0
040401,1687,0.543013095,33.17,63.1
040402,2044,0.618754417,26.63,58.8
040600,4761,0.627707677,22.70,65.2
040700,2576,0.430325958,20.45,65.6
040800,5160,0.447015438,23.73,61.4
040900,2274,0.615366622,20.42,59.1
050100,1509,0.600798994,18.49,64.0
050200,1347,0.672024825,23.54,64.9
050300,1531,0.424509605,22.78,62.6
050500,1492,0.826769398,19.78,59.0
050600,1555,0.632259463,19.77,60.4
050700,1670,0.728933717,18.50,55.3
050800,2749,0.612944365,15.89,53.8
050900,2247,0.397696451,19.69,62.8
051000,2566,0.353622376,16.62,56.9
051100,1927,0.322721221,19.14,64.0
051200,3103,0.64815278,18.16,60.9
051300,4157,0.635468767,16.08,49.1
051400,1160,0.284896635,22.09,62.8
060100,4841,0.315854387,18.26,58.3
060200,6395,0.404324263,23.85,59.7
060300,1135,0.699127963,16.29,58.2
060400,2214,0.642632986,19.08,57.7
060500,1896,0.441118879,29.21,64.6
060800,3992,0.439274868,18.76,61.9
060900,2650,0.685460789,17.08,63.6
061000,3215,0.362936288,16.73,62.4
061100,2941,0.459729521,16.29,65.5
061200,1638,0.422050075,17.02,60.8
061500,1819,0.703758622,13.53,57.1
061800,1335,0.554375735,17.87,63.6
061901,2330,0.607702845,20.00,65.1
061902,2665,0.603293833,17.54,66.3
062000,3561,0.683461142,12.77,62.0
062100,4284,0.542162141,19.70,63.8
062200,3393,0.519180646,11.47,54.2
062300,2390,0.587822972,16.56,60.6
062400,6344,0.638084279,14.71,55.0
062500,2484,0.668026735,15.63,53.9
062600,3830,0.584646963,18.49,61.3
062700,1943,0.688912883,18.71,61.4
062800,3963,0.594388372,17.65,59.8
062900,2328,0.489627249,12.99,55.9
063000,4124,0.442629849,17.69,66.0
063100,3303,0.629029289,16.95,66.2
063200,3275,0.644963207,21.27,65.2
063301,3037,0.674391119,20.99,62.1
063302,2905,0.858069081,14.45,59.2
063303,3116,0.610921423,24.51,64.2
063400,4032,0.635223645,16.13,66.3
070101,2880,0.910789092,18.10,66.5
070102,2055,0.878660376,19.02,59.1
070103,3604,0.841941665,16.48,65.7
070200,4571,0.923156976,15.45,64.0
070300,5487,0.74455766,17.83,63.2
070400,1849,0.393790742,23.13,62.8
070500,1785,0.56529131,18.34,60.3
070600,2643,0.585848298,14.83,46.5
070700,6112,0.412271812,21.01,60.5
071000,3420,0.558793742,21.87,64.0
071100,3386,0.634427602,18.03,59.3
071200,4322,0.854761173,20.49,65.9
071300,4579,0.994839384,14.44,65.2
071400,7744,0.884619005,16.59,64.9
071500,3465,0.845611366,14.68,63.8
071600,4102,0.837758785,15.51,60.7
071700,3079,0.773185451,16.55,56.7
071800,4074,0.846812562,16.46,57.2
080100,3006,0.905085392,16.00,61.4
080201,6721,0.794353256,20.82,63.0
080202,3178,0.974550976,13.49,60.7
080300,6642,0.988064784,15.49,61.9
080400,1315,0.465758314,43.31,51.4
081000,5960,0.801925447,24.58,62.8
081100,7188,0.704992717,20.56,64.7
081201,6024,0.725519359,13.26,65.5
081202,3025,0.975317211,15.75,61.9
081300,5659,0.821559677,12.08,62.3
081401,4694,0.79326314,23.44,65.1
081402,4631,0.711207569,14.77,60.6
081403,5702,0.88173923,12.55,63.6
081500,3034,0.752759719,6.71,61.5
081600,4819,0.554928027,14.53,62.7
081700,4844,0.640399044,13.28,62.5
081800,4901,0.792841643,7.50,59.0
081900,3471,0.101551233,30.05,61.1
090100,4073,0.457354295,28.53,64.0
090200,4251,0.635970506,24.21,64.2
090300,6320,0.856532658,27.01,64.8
