id,pop
1000000US170310101001000,128
1000000US170310101001001,71
1000000US170310101001002,45
1000000US170310101001003,335
1000000US170310101002000,152
1000000US170310101002001,45
1000000US170310101002002,363
1000000US170310101002003,42
1000000US170310101002004,154
1000000US170310101002005,151
1000000US170310101002006,193
1000000US170310101002007,143
1000000US170310101002008,274
1000000US170310101002009,0
1000000US170310101002010,149
1000000US170310101002011,223
1000000US170310101002012,120
1000000US170310101002013,302
1000000US170310101003000,268
1000000US170310101003001,0
1000000US170310101003002,0
1000000US170310101003003,148
1000000US170310101003004,291
1000000US170310101003005,174
1000000US170310101003006,171
1000000US170310101003007,182
1000000US170310101003008,192
1000000US170310101003009,114
1000000US170310101003010,153
1000000US170310101003011,236
1000000US170310101003012,35
1000000US170310102011000,141
1000000US170310102011001,74
1000000US170310102011002,68
1000000US170310102011003,75
1000000US170310102011004,117
1000000US170310102011005,107
1000000US170310102011006,151
1000000US170310102011007,237
1000000US170310102011008,138
1000000US170310102011009,42
1000000US170310102011010,134
1000000US170310102011011,32
1000000US170310102011012,62
1000000US170310102011013,67
1000000US170310102012000,40
1000000US170310102012001,66
1000000US170310102012002,133
1000000US170310102012003,74
1000000US170310102012004,0
1000000US170310102012005,0
1000000US170310102012006,19
1000000US170310102012007,0
1000000US170310102012008,111
1000000US170310102012009,86
1000000US170310102012010,36
1000000US170310102012011,45
1000000US170310102012012,76
1000000US170310102012013,36
1000000US170310102012014,88
1000000US170310102012015,413
1000000US170310102012016,82
1000000US170310102012017,127
1000000US170310102012018,77
1000000US170310102012019,35
1000000US170310102012020,0
1000000US170310102012021,104
1000000US170310102012022,26
1000000US170310102012023,79
1000000US170310102012024,378
1000000US170310102012025,234
1000000US170310102012026,50
1000000US170310102012027,116
1000000US170310102012028,35
1000000US170310102012029,15
1000000US170310102012030,175
1000000US170310102012031,82
1000000US170310102012032,71
1000000US170310102012033,80
1000000US170310102012034,105
1000000US170310102012035,105
1000000US170310102012036,210
1000000US170310102012037,56
1000000US170310102012038,135
1000000US170310102012039,26
1000000US170310102012040,246
1000000US170310102013000,155
1000000US170310102013001,51
1000000US170310102013002,52
1000000US170310102013003,88
1000000US170310102013004,157
1000000US170310102013005,183
1000000US170310102013006,10
1000000US170310102013007,57
1000000US170310102013008,69
1000000US170310102013009,28
1000000US170310102013010,112
1000000US170310102013011,171
1000000US170310102021000,61
1000000US170310102021001,194
1000000US170310102021002,0
1000000US170310102021003,0
1000000US170310102021004,406
1000000US170310102021005,174
1000000US170310102021006,16
1000000US170310102021007,127
1000000US170310102021008,0
1000000US170310102021009,132
1000000US170310102021010,0
1000000US170310102021011,5
1000000US170310102021012,130
1000000US170310102021013,20
1000000US170310102022000,33
1000000US170310102022001,78
1000000US170310102022002,1
1000000US170310102022003,68
1000000US170310102022004,219
1000000US170310102022005,205
1000000US170310102022006,129
1000000US170310102022007,446
1000000US170310102022008,84
1000000US170310102022009,122
1000000US170310102022010,168
1000000US170310103001000,266
1000000US170310103001001,46
1000000US170310103001002,31
1000000US170310103001003,99
1000000US170310103001004,114
1000000US170310103001005,90
1000000US170310103001006,158
1000000US170310103001007,143
1000000US170310103002000,275
1000000US170310103002001,86
1000000US170310103002002,159
1000000US170310103002003,0
1000000US170310103002004,149
1000000US170310103002005,136
1000000US170310103002006,38
1000000US170310103002007,0
1000000US170310103002008,0
1000000US170310103002009,184
1000000US170310103002010,90
1000000US170310103002011,196
1000000US170310103002012,233
1000000US170310103002013,145
1000000US170310103002014,90
1000000US170310103002015,299
1000000US170310103002016,93
1000000US170310103002017,6
1000000US170310103003000,647
1000000US170310103003001,68
1000000US170310103003002,222
1000000US170310103003003,170
1000000US170310103003004,53
1000000US170310103003005,198
1000000US170310103003006,39
1000000US170310103003007,253
1000000US170310103004000,84
1000000US170310103004001,181
1000000US170310103004002,29
1000000US170310103004003,32
1000000US170310103004004,220
1000000US170310103004005,0
1000000US170310103004006,65
1000000US170310103004007,272
1000000US170310103004008,45
1000000US170310103004009,14
1000000US170310103004010,108
1000000US170310103004011,109
1000000US170310103004012,85
1000000US170310103004013,88
1000000US170310103004014,128
1000000US170310104001000,136
1000000US170310104001001,140
1000000US170310104001002,444
1000000US170310104001003,304
1000000US170310104001004,251
1000000US170310104001005,4
1000000US170310104001006,186
1000000US170310104002000,0
1000000US170310104002001,142
1000000US170310104002002,120
1000000US170310104002003,0
1000000US170310104002004,202
1000000US170310104002005,136
1000000US170310104002006,124
1000000US170310104002007,109
1000000US170310104003001,5
1000000US170310104003002,52
1000000US170310104003003,268
1000000US170310104003004,200
1000000US170310104003005,0
1000000US170310104003006,812
1000000US170310104003007,0
1000000US170310104003008,165
1000000US170310104003009,218
1000000US170310104003010,128
1000000US170310104003011,304
1000000US170310104003012,20
1000000US170310104003013,28
1000000US170310104003014,544
1000000US170310104003015,0
1000000US170310105011000,161
1000000US170310105011001,249
1000000US170310105011002,172
1000000US170310105011003,289
1000000US170310105012000,178
1000000US170310105012001,145
1000000US170310105012002,182
1000000US170310105012003,91
1000000US170310105012004,200
1000000US170310105012005,608
1000000US170310105012006,206
1000000US170310105012007,218
1000000US170310105012008,69
1000000US170310105013000,260
1000000US170310105013001,119
1000000US170310105013002,82
1000000US170310105013003,214
1000000US170310105013004,130
1000000US170310105013005,76
1000000US170310105013006,72
1000000US170310105013007,164
1000000US170310105013008,55
1000000US170310105013009,74
1000000US170310105013010,77
1000000US170310105021000,241
1000000US170310105021001,84
1000000US170310105021002,62
1000000US170310105021003,53
1000000US170310105021004,140
1000000US170310105021005,135
1000000US170310105021006,233
1000000US170310105021007,83
1000000US170310105021008,81
1000000US170310105021009,74
1000000US170310105021010,0
1000000US170310105021011,0
1000000US170310105021012,148
1000000US170310105022000,392
1000000US170310105022001,227
1000000US170310105022002,149
1000000US170310105022003,138
1000000US170310105022004,96
1000000US170310105022005,204
1000000US170310105022006,70
1000000US170310105022007,149
1000000US170310105022008,110
1000000US170310105022009,146
1000000US170310105022010,86
1000000US170310105031000,155
1000000US170310105031001,15
1000000US170310105031002,73
1000000US170310105031003,41
1000000US170310105031004,57
1000000US170310105031005,101
1000000US170310105031006,490
1000000US170310105031007,47
1000000US170310105031008,66
1000000US170310105031009,71
1000000US170310105031010,83
1000000US170310105031011,84
1000000US170310105031012,0
1000000US170310105031013,84
1000000US170310105031014,47
1000000US170310105031015,52
1000000US170310105031016,16
1000000US170310105032000,0
1000000US170310105032001,0
1000000US170310105032002,0
1000000US170310105032003,74
1000000US170310105032004,73
1000000US170310105032005,60
1000000US170310105032006,169
1000000US170310105032007,227
1000000US170310105032008,0
1000000US170310105032009,105
1000000US170310105032010,0
1000000US170310105032011,71
1000000US170310105032012,29
1000000US170310106001000,0
1000000US170310106001001,0
1000000US170310106001002,0
1000000US170310106001003,215
1000000US170310106001004,166
1000000US170310106001005,94
1000000US170310106001006,135
1000000US170310106001007,73
