CENSUS BLOCK,Pop
0101001000,128
0101001001,71
0101001002,45
0101001003,335
0101002000,152
0101002001,45
0101002002,363
0101002003,42
0101002004,154
0101002005,151
0101002006,193
0101002007,143
0101002008,274
0101002009,0
0101002010,149
0101002011,223
0101002012,120
0101002013,302
0101003000,268
0101003001,0
0101003002,0
0101003003,148
0101003004,291
0101003005,174
0101003006,171
0101003007,182
0101003008,192
0101003009,114
0101003010,153
0101003011,236
0101003012,35
0102011000,141
0102011001,74
0102011002,68
0102011003,75
0102011004,117
0102011005,107
0102011006,151
0102011007,237
0102011008,138
0102011009,42
0102011010,134
0102011011,32
0102011012,62
0102011013,67
0102012000,40
0102012001,66
0102012002,133
0102012003,74
0102012004,0
0102012005,0
0102012006,19
0102012007,0
0102012008,111
0102012009,86
0102012010,36
0102012011,45
0102012012,76
0102012013,36
0102012014,88
0102012015,413
0102012016,82
0102012017,127
0102012018,77
0102012019,35
0102012020,0
0102012021,104
0102012022,26
0102012023,79
0102012024,378
0102012025,234
0102012026,50
0102012027,116
0102012028,35
0102012029,15
0102012030,175
0102012031,82
0102012032,71
0102012033,80
0102012034,105
0102012035,105
0102012036,210
0102012037,56
0102012038,135
0102012039,26
0102012040,246
0102013000,155
0102013001,51
0102013002,52
0102013003,88
0102013004,157
0102013005,183
0102013006,10
0102013007,57
0102013008,69
0102013009,28
0102013010,112
0102013011,171
0102021000,61
0102021001,194
0102021002,0
0102021003,0
0102021004,406
0102021005,174
0102021006,16
0102021007,127
0102021008,0
0102021009,132
0102021010,0
0102021011,5
0102021012,130
0102021013,20
0102022000,33
0102022001,78
0102022002,1
0102022003,68
0102022004,219
0102022005,205
0102022006,129
0102022007,446
0102022008,84
0102022009,122
0102022010,168
0103001000,266
0103001001,46
0103001002,31
0103001003,99
0103001004,114
0103001005,90
0103001006,158
0103001007,143
0103002000,275
0103002001,86
0103002002,159
0103002003,0
0103002004,149
0103002005,136
0103002006,38
0103002007,0
0103002008,0
0103002009,184
0103002010,90
0103002011,196
0103002012,233
0103002013,145
0103002014,90
0103002015,299
0103002016,93
0103002017,6
0103003000,647
0103003001,68
0103003002,222
0103003003,170
0103003004,53
0103003005,198
0103003006,39
0103003007,253
0103004000,84
0103004001,181
0103004002,29
0103004003,32
0103004004,220
0103004005,0
0103004006,65
0103004007,272
