Tract,CA,Population
010100,01,5163
010201,01,6752
010202,01,2557
010300,01,6049
010400,01,4690
010501,01,3995
010502,01,4098
010503,01,2098
010600,01,7170
010701,01,4066
010702,01,5789
830600,01,5132
020100,02,3684
020200,02,6699
020301,02,4990
020302,02,4445
020400,02,4253
020500,02,6086
020601,02,6939
020602,02,4057
020701,02,1886
020702,02,7546
020801,02,5434
020802,02,7492
020901,02,5712
020902,02,4482
031000,03,3363
031100,03,4131
031200,03,5343
031300,03,7142
031400,03,5381
031501,03,3658
031502,03,5052
031700,03,6704
031800,03,1825
031900,03,2343
032100,03,6849
830700,03,3204
040100,04,4041
040201,04,5895
040202,04,6727
040300,04,2465
040401,04,3176
040402,04,4538
040600,04,2552
040700,04,3149
040800,04,1687
040900,04,2044
830800,04,2348
050100,05,2366
050200,05,4761
050300,05,2576
050500,05,5160
050600,05,2274
050700,05,1509
050800,05,1347
050900,05,1531
051000,05,1492
051100,05,1555
051200,05,1670
051300,05,2749
051400,05,2247
843700,05,2181
060100,06,2566
060200,06,1927
060300,06,3103
060400,06,4157
060500,06,1160
060800,06,4841
060900,06,6395
061000,06,1757
061100,06,1135
061200,06,2214
061500,06,1896
061800,06,1066
061901,06,3773
061902,06,3992
062000,06,2650
062100,06,3215
062200,06,2941
062300,06,1638
062400,06,1819
062500,06,1335
062600,06,2330
062700,06,2665
062800,06,3561
062900,06,4284
063000,06,3393
063100,06,2390
063200,06,6344
063301,06,2484
063302,06,3830
063303,06,1224
063400,06,1943
831900,06,2987
832000,06,2185
832100,06,3339
070101,07,3963
070102,07,2328
070103,07,1850
070200,07,4124
070300,07,3303
070400,07,3275
070500,07,3037
070600,07,2905
070700,07,3116
071000,07,4032
071100,07,2880
071200,07,2055
071300,07,3604
071400,07,4571
071500,07,5487
071600,07,1849
071700,07,1785
071800,07,2643
832500,07,3534
832600,07,4290
080100,08,6112
080201,08,3420
080202,08,3386
080300,08,4322
080400,08,4579
081000,08,7744
081100,08,3465
081201,08,4102
081202,08,3079
081300,08,4978
081401,08,2512
081402,08,4112
081403,08,6528
081500,08,4074
081600,08,3192
081700,08,3006
081800,08,6721
081900,08,1193
838300,08,1337
842200,08,2654
090100,09,3178
090200,09,6642
090300,09,1315
805600,09,0
100100,10,5960
100200,10,7188
100300,10,6024
100400,10,3025
100500,10,5659
100600,10,4694
100700,10,4631
810400,10,248
110100,11,5702
110200,11,3034
110300,11,4819
110400,11,4844
110501,11,4901
110502,11,3471
120100,12,4073
120200,12,4251
120300,12,6320
120400,12,3898
807900,12,0
808100,12,0
130100,13,6002
130200,13,1586
130300,13,4977
831800,13,6174
140100,14,3599
140200,14,6468
140301,14,2648
140302,14,4351
140400,14,6855
140500,14,4449
140601,14,3171
140602,14,5774
140701,14,2520
140702,14,6330
140800,14,7732
150200,15,7799
150300,15,6814
150401,15,4483
150402,15,3749
150501,15,3618
150502,15,4822
150600,15,3650
150700,15,4451
150800,15,5353
151001,15,2628
151002,15,5087
151100,15,4939
151200,15,3651
831700,15,2575
160100,16,2655
160200,16,3916
160300,16,3853
160400,16,5179
160501,16,4391
160502,16,4851
160601,16,3792
160602,16,3836
160700,16,5879
160800,16,5385
160900,16,2612
161000,16,1745
161100,16,2255
161200,16,2512
161300,16,3652
170100,17,2145
170200,17,3840
170300,17,5074
170400,17,3791
170500,17,4679
170600,17,2649
170700,17,3174
170800,17,3645
170900,17,1715
171000,17,7032
171100,17,4371
180100,18,5662
831600,18,6739
190100,19,2690
190200,19,6026
190300,19,5268
190401,19,4545
190402,19,4901
190601,19,4474
190602,19,4967
190701,19,2935
190702,19,4492
190800,19,6774
190900,19,2184
191000,19,2720
191100,19,7714
191200,19,4011
191301,19,5997
191302,19,4466
831500,19,3721
200100,20,4549
200200,20,5546
200300,20,2258
200401,20,4014
200402,20,3942
831200,20,4759
210100,21,4298
210400,21,3163
210501,21,4505
210502,21,5172
210601,21,3318
210602,21,4468
210700,21,4518
210800,21,1235
210900,21,3366
831100,21,7499
220300,22,2425
220400,22,2445
220500,22,2820
220601,22,1506
220602,22,4547
220701,22,3810
220702,22,4295
220901,22,3392
220902,22,3214
221000,22,3081
221100,22,4785
221200,22,2335
221300,22,2646
221400,22,3104
221500,22,2693
221600,22,2983
222200,22,1905
222500,22,1433
222600,22,1629
222700,22,2438
222800,22,881
222900,22,1274
830900,22,2785
831000,22,2361
832200,22,3102
832300,22,2247
