tractID,pop,vehicles_per1000,alley_lights_per1000,garbage_per1000,graffiti_per1000,potholes_per1000,rodents_per1000,sanitation_per1000,street_lights_one_per1000,street_lights_all_per1000,tree_debris_per1000,tree_trims_per1000,buildings_per1000,all_calls_per1000
010100,5163,25.954,10.265,9.103,47.259,128.995,21.499,30.215,19.369,34.476,11.621,33.12,1.162,373.039
010201,6752,41.061,14.526,41.255,237.265,211.699,67.403,22.08,19.369,18.594,19.95,32.346,3.486,557.464
010202,2557,13.945,10.072,7.941,129.77,97.424,20.724,14.333,15.882,37.381,8.522,15.495,1.356,752.835
010300,6049,32.733,15.107,13.364,164.052,104.978,34.089,16.657,22.08,28.472,19.369,33.12,0.968,413.953
010400,4690,11.234,7.941,7.554,50.358,58.88,25.373,8.91,15.107,10.459,4.067,14.914,0.387,236.887
010501,3995,14.139,6.004,1.549,88.708,55.2,14.72,16.851,6.392,10.846,6.392,12.977,0.194,302.378
010503,2098,9.878,7.36,19.175,118.729,56.75,14.526,6.585,9.491,8.716,4.648,18.4,0.775,676.835
010600,7170,39.899,13.364,16.851,222.932,123.572,32.346,19.562,32.927,56.556,16.657,65.66,1.162,461.925
010701,4066,49.39,15.495,30.021,91.42,183.808,54.232,12.59,13.752,12.202,30.602,34.282,0.387,670.684
010702,5789,45.322,8.522,15.882,195.623,150.881,25.567,22.274,16.657,23.049,10.846,23.049,1.356,480.739
020100,3684,33.895,11.04,27.116,100.136,124.153,61.592,12.59,17.238,26.535,19.369,29.44,1.937,651.737
020200,6699,54.426,50.552,128.801,104.203,296.92,145.264,23.242,84.834,68.565,52.683,174.511,2.905,914.763
020301,4990,13.364,14.139,56.556,70.502,107.689,32.539,8.135,45.516,63.529,22.468,49.584,0.194,501.002
020302,4445,57.718,28.278,47.259,174.317,95.293,150.494,25.373,51.908,39.899,37.962,52.489,3.099,887.514
020400,4253,42.611,26.341,40.48,79.992,131.706,81.542,13.171,37.769,39.125,32.539,44.354,1.549,693.393
020500,6086,28.666,18.594,35.832,171.412,114.275,60.236,21.693,37.188,42.998,19.756,50.939,1.356,511.502
020601,6939,38.156,36.413,72.051,215.766,115.437,116.018,28.472,49.196,40.48,34.863,64.11,2.905,605.563
020602,4057,36.413,29.247,59.655,203.564,125.508,48.809,23.049,47.453,41.061,22.274,59.655,3.293,890.806
020701,1886,22.274,21.112,23.63,119.504,75.925,23.436,23.823,12.59,9.297,13.752,42.417,1.356,1065.217
020702,7546,51.327,38.156,65.853,212.667,181.871,280.651,49.003,37.769,31.377,36.994,68.177,2.712,722.9
020801,5434,41.642,39.125,63.335,205.501,105.365,69.921,20.531,16.27,48.228,12.59,181.096,4.067,767.391
020802,7492,51.52,29.634,56.556,320.744,147.589,145.264,34.863,36.8,32.539,35.832,81.735,4.455,673.652
020901,5712,53.07,13.558,36.413,144.49,98.973,60.043,17.625,20.337,35.057,10.653,27.503,3.486,471.113
020902,4482,15.495,9.491,8.135,47.647,136.161,32.927,8.522,21.112,46.678,6.779,21.112,1.356,409.415
030101,3794,4.067,2.712,0.581,35.638,22.468,9.684,3.293,2.905,10.265,1.549,14.139,0.194,146.284
030102,3139,4.842,2.324,0.581,58.687,28.084,10.265,4.648,8.135,11.621,1.356,10.846,0.581,233.514
030103,1881,3.486,3.874,0.581,20.918,15.882,3.099,1.549,4.455,5.423,0.775,1.549,0.387,170.122
