census_tra,hournumber,shooting_count,robbery_count,assault_count
000000,0,0,0,0
000000,1,0,0,0
000000,2,0,0,0
000000,3,0,0,0
000000,4,0,0,0
000000,5,0,0,0
000000,6,0,0,0
000000,7,0,0,0
000000,8,0,0,0
000000,9,0,0,0
000000,10,0,0,0
000000,11,0,0,0
000000,12,0,1,0
000000,13,0,0,0
000000,14,0,0,0
000000,15,0,0,0
000000,16,0,0,0
000000,17,0,0,0
000000,18,0,0,0
000000,19,0,0,0
000000,20,0,0,0
000000,21,0,0,0
000000,22,1,0,0
000000,23,0,0,1
010100,0,21,27,6
010100,1,12,28,7
010100,2,8,21,5
010100,3,14,14,3
010100,4,5,15,2
010100,5,7,11,3
010100,6,3,7,1
010100,7,5,8,2
010100,8,5,7,10
010100,9,2,7,8
010100,10,7,8,10
010100,11,6,8,11
010100,12,4,11,12
010100,13,11,15,12
010100,14,13,17,9
010100,15,12,13,14
010100,16,7,20,5
010100,17,11,13,9
010100,18,22,23,10
010100,19,18,31,9
010100,20,26,27,8
010100,21,23,25,10
010100,22,19,24,14
010100,23,13,33,9
010200,0,15,32,6
010200,1,24,32,13
010200,2,15,46,6
010200,3,11,27,6
010200,4,8,22,2
010200,5,7,18,3
010200,6,4,19,3
010200,7,4,19,5
010200,8,3,14,9
010200,9,7,15,9
010200,10,11,22,12
010200,11,9,25,10
010200,12,6,14,17
010200,13,8,30,13
010200,14,10,35,12
010200,15,19,40,10
010200,16,19,40,8
010200,17,19,33,18
010200,18,23,54,14
010200,19,32,46,15
010200,20,32,46,20
010200,21,19,51,13
010200,22,28,40,16
010200,23,20,32,6
010300,0,4,22,3
010300,1,3,25,2
010300,2,5,26,3
010300,3,7,17,2
010300,4,0,19,1
010300,5,0,16,2
010300,6,4,7,1
010300,7,2,8,2
010300,8,1,7,2
010300,9,3,16,3
010300,10,2,14,3
010300,11,4,12,5
010300,12,4,15,2
010300,13,2,15,7
010300,14,2,8,3
010300,15,2,19,5
010300,16,1,9,7
010300,17,5,18,7
010300,18,3,30,6
010300,19,7,35,5
010300,20,4,36,9
010300,21,3,39,6
010300,22,7,44,7
010300,23,6,37,3
010400,0,5,7,3
010400,1,7,11,1
010400,2,4,10,1
010400,3,7,12,0
010400,4,2,11,0
010400,5,2,3,1
010400,6,0,5,0
010400,7,0,2,2
010400,8,0,3,1
010400,9,1,1,1
010400,10,0,5,0
010400,11,1,2,2
010400,12,2,2,4
010400,13,2,2,1
010400,14,4,4,2
010400,15,3,2,2
010400,16,5,6,0
010400,17,3,5,3
010400,18,3,6,3
010400,19,4,12,2
010400,20,2,14,2
010400,21,10,14,3
010400,22,6,18,4
010400,23,4,11,3
010500,0,5,45,4
010500,1,9,50,7
010500,2,12,54,4
010500,3,10,33,1
010500,4,4,26,5
010500,5,6,21,5
010500,6,1,11,3
010500,7,1,10,5
010500,8,1,9,2
010500,9,4,6,2
010500,10,4,17,0
010500,11,4,15,6
010500,12,4,25,8
010500,13,3,19,9
010500,14,2,22,8
010500,15,5,25,1
010500,16,3,23,7
010500,17,7,24,10
010500,18,3,28,6
010500,19,7,41,5
010500,20,8,38,10
010500,21,12,62,7
010500,22,14,66,10
010500,23,14,48,7
010600,0,13,30,9
010600,1,9,33,5
010600,2,10,15,4
010600,3,9,22,3
010600,4,4,17,0
010600,5,3,20,0
010600,6,0,12,3
010600,7,5,9,2
010600,8,3,7,8
010600,9,3,13,4
010600,10,6,11,4
010600,11,1,10,4
010600,12,8,8,3
010600,13,3,10,6
010600,14,8,18,12
010600,15,11,18,8
010600,16,6,27,6
010600,17,6,22,4
010600,18,11,25,3
010600,19,9,38,9
010600,20,14,35,11
010600,21,9,44,6
010600,22,10,51,9
010600,23,5,35,3
010700,0,13,29,7
010700,1,6,39,7
010700,2,25,32,4
010700,3,13,28,2
010700,4,7,23,2
010700,5,4,22,3
010700,6,1,12,2
010700,7,4,13,0
010700,8,5,15,4
010700,9,5,10,4
010700,10,3,11,5
010700,11,2,13,5
010700,12,6,13,5
010700,13,11,16,5
010700,14,11,20,12
010700,15,9,28,18
010700,16,9,15,9
010700,17,7,26,8
010700,18,11,19,13
010700,19,16,30,5
010700,20,15,34,11
010700,21,11,40,11
010700,22,15,51,7
010700,23,13,34,13
010800,0,7,9,5
010800,1,7,10,2
010800,2,8,10,0
010800,3,7,12,1
010800,4,6,11,3
010800,5,1,3,1
010800,6,1,5,0
010800,7,3,1,0
010800,8,2,2,1
010800,9,2,0,3
010800,10,3,2,5
010800,11,1,5,4
010800,12,2,5,3
010800,13,2,2,4
010800,14,8,6,3
010800,15,3,13,6
010800,16,5,10,5
010800,17,6,15,9
010800,18,4,5,7
010800,19,8,9,8
010800,20,5,17,6
010800,21,14,15,7
010800,22,10,10,8
010800,23,8,10,5
010900,0,1,6,1
010900,1,1,4,1
010900,2,0,5,0
010900,3,1,4,0
010900,4,1,2,0
010900,5,2,1,0
010900,6,0,0,0
010900,7,0,1,2
010900,8,0,1,1
010900,9,2,3,0
010900,10,1,1,1
010900,11,3,2,0
010900,12,2,2,4
010900,13,1,8,2
010900,14,0,4,0
010900,15,4,2,0
010900,16,3,1,2
010900,17,1,1,1
010900,18,3,3,1
010900,19,4,4,2
010900,20,1,7,0
010900,21,1,6,1
010900,22,0,3,0
010900,23,1,6,3
020100,0,2,5,0
020100,1,2,4,2
020100,2,3,4,0
020100,3,0,2,0
020100,4,1,1,0
020100,5,0,2,0
020100,6,2,0,1
020100,7,1,1,2
020100,8,0,2,0
020100,9,1,3,2
020100,10,0,5,0
020100,11,0,1,2
020100,12,0,3,3
020100,13,2,8,1
020100,14,1,6,1
020100,15,3,3,3
020100,16,2,4,4
020100,17,1,5,1
020100,18,1,8,2
020100,19,2,8,3
020100,20,1,11,3
020100,21,3,17,2
020100,22,2,15,0
020100,23,2,9,3
020200,0,5,4,2
020200,1,5,7,0
020200,2,5,7,1
020200,3,2,1,1
020200,4,0,6,0
020200,5,0,3,0
020200,6,2,6,1
020200,7,2,1,0
020200,8,1,3,0
020200,9,1,7,1
020200,10,0,2,4
020200,11,0,3,2
020200,12,0,4,0
020200,13,1,5,3
020200,14,2,6,3
020200,15,0,4,2
020200,16,2,10,5
020200,17,0,5,1
020200,18,0,10,2
020200,19,1,5,1
020200,20,1,13,5
020200,21,4,10,3
020200,22,2,8,0
020200,23,5,10,1
020300,0,1,7,2
020300,1,0,4,0
020300,2,1,9,1
020300,3,5,4,0
020300,4,2,5,0
